서명,저자,출판사,출판년
머리 쓰는 그림책 : 막훔쳐 도둑단 잡기,이소비 기획·글 ; 임규석 그림,부즈펌,2013
(머리가 좋아지는)숨바꼭질. 3 : 동물 100,세베 마사유키 글.그림 ; 고향옥 옮김,비룡소,2012
(머리가 좋아지는)숨바꼭질. 4 : 100을 만들자,세베 마사유키 글.그림 ; 고향옥 옮김,비룡소,2012
메롱 크리스마스!,"블레이크, 스테파니",한울림어린이,2012
메리 메리 크리스마스,로제 플로크 글 ; 니나 첸 그림 ; 박진희 그림,키즈엠,2012
메리 메리 크리스마스,로제 플로크 글 ; 니나 첸 그림 ; 박진희 그림,키즈엠,2012
명태를 찾습니다!,주강현 글 ; 김형근 그림,미래M&B,2012
명태를 찾습니다!,주강현 글 ; 김형근 그림,미래M&B,2012
모두 모두 예뻐요,나오코 스툽 글.그림 ; 천미진 옮김,키즈엠,2013
모두 모두 예뻐요,나오코 스툽 글.그림 ; 천미진 옮김,키즈엠,2013
모리는 새것만 좋아해!,쥬느비에브 꼬떼 글.그림 ; 글맛 옮김,키즈엠,2013
모리는 새것만 좋아해!,쥬느비에브 꼬떼 글.그림 ; 글맛 옮김,키즈엠,2013
목 짧은 기린 지피,고정욱 글 ; 박재현 그림,맹&앵,2012
무엇으로 꾸미고 가지,이네스 트리굽 글 ; 배상희 옮김,어린이작가정신,2012
무엇이든 똑같이 똑같이 : 논리 단계 위치 변화,강민경 글 ; 노정아 그림,을파소,2012
무엇이든 똑같이 똑같이 : 논리 단계 위치 변화,강민경 글 ; 노정아 그림,을파소,2012
무지개가 사는 숲 속,성혜진 글·그림,종이책,2012
(뭐든지 만들 수 있는)앤디의 장난감 블록,조나단 에밋 글 ; 벤 맨틀 그림 ; 공상공장 옮김,키즈엠,2012
클림트,애플비 편집부 편,애플비,2010
바나나가 쿵 하고,제럴드 맥더멋 글.그림 ; 김종철 옮김,현북스,2013
바다 이야기,존 세븐 글 ; 재나 크리스티 그림 ; 초록색연필 옮김,키즈엠,2013
바르샤바로 간 슐레밀,아이작 바셰비스 싱어 글 ; 정미우 옮김,내인생의책,2011
바이올린이 짠짠짠,[애플비 편집부 편],애플비,2012
박쥐는 누구 편일까 : 논리 단계 재분류,함지슬 글 ; 이은진 그림,을파소,2012
박치 요정 꿍따와 무지개 공주,신윤호 지음 ; 채영 그림,환타웍스,2012
반짝반짝 동물들,장 클로드 그림 ; 앙통 푸아티에 디자인,베틀북,2013
배고픈 꿈이,김삼현 글.그림,상,2012
배고픔 없는 세상,프랑수아 데이비드 글 ; 올리비에 티에보 그림 ; 전미연 옮김,가치창조,2012
배탈마왕 꾸르륵,김기용 지음 ; 윤길준 그림,해피스토리,2012
벌레 먹은 상추가 최고야!,박형진 글 ; 김민경 그림,농림수산식품교육문화정보원,2012
벤과 플로라,아네미에 베레브룩스 글·그림 ; 최용은 옮김,키즈엠,2012
벤과 플로라,아네미에 베레브룩스 글·그림 ; 최용은 옮김,키즈엠,2012
별을 헤아리며,"로리, 로이스",양철북,2003
엄청나게 큰 병아리,키스 그레이브스 글.그림 ; 공경희 옮김,푸른숲주니어,2011
엄청나게 큰 병아리,키스 그레이브스 글.그림 ; 공경희 옮김,푸른숲주니어,2011
봄이다!,줄리 폴리아노 글 ; 에린 E. 스테드 그림 ; 이예원 옮김,열린책들별천지,2012
부릉부릉 자동차 세상,케이시 핸더슨 글 ; 샬롯 하드 그림 ; 김상일 옮김,키다리,2012
북극곰 소년,질리언 쉴즈 글 ; 두브라브카 콜라노빅 그림 ; 최용은 옮김,키즈엠,2012
북극곰 소년,질리언 쉴즈 글 ; 두브라브카 콜라노빅 그림 ; 최용은 옮김,키즈엠,2012
(북적북적)우리 집에 김장하러 오세요,소중애 글 ; 정문주 그림,푸른숲주니어,2012
분홍 토끼의 추석,김미혜 글 ; 박재철 그림,비룡소,2012
분홍 토끼의 추석,김미혜 글 ; 박재철 그림,비룡소,2012
"불량 식품 안 돼요, 안 돼!",명승권 글 ; 이유진 그림,웅진주니어,2012
불씨 지킨 새색시,홍영우 글 그림,보리,2011
붉은 땅의 기억 : 한 소년이 겪은 중국 문화대혁명,장안거 글·그림 ; 홍연미 옮김,문학동네,2012
비둘기 똥 소동,엘리자베스 베이글리 글 ; 마크 체임버스 그림 ; 최용은 옮김,키즈엠,2012
비둘기 똥 소동,엘리자베스 베이글리 글 ; 마크 체임버스 그림 ; 최용은 옮김,키즈엠,2012
비밀 친구가 생겼어,수전 메도 글.그림 ; 허미경 옮김,비룡소,2012
빗방울이 똑똑똑 : 물의 순환에 대한 이야기,주디스 앤더슨 지음 ; 마이크 고든 그림 ; 최연순 옮김,상상스쿨,2012
빨간 날이 제일 좋아! : 국경일을 통해 본 우리나라의 역사와 문화,김종렬 글 ; 이경석 그림,비룡소,2013
빨간 목도리,김영미 글 ; 윤지회 그림,시공주니어,2012
빨간색은 어디에 있을까,최인호 글 ; 최은미 그림,처음주니어,2011
빨간색은 어디에 있을까,최인호 글 ; 최은미 그림,처음주니어,2011
빨강 끈,신애희 글·그림,소년한길,2013
뽀스락 왕자 : 송언 창작동화,송언 지음 ; 장호 그림,별숲,2012
뽀스락 왕자 : 송언 창작동화,송언 지음 ; 장호 그림,별숲,2012
사냥꾼이 오고 있어!,레오나르드 ; 엘리사 게힌 [공]글.그림 ; 아이생각 그림,키즈엠,2012
사랑해 자장자장 사랑해,캐롤라인 제인 처치 지음 ; 신형건 옮김,보물창고,2012
사랑해 자장자장 사랑해,캐롤라인 제인 처치 지음 ; 신형건 옮김,보물창고,2012
산타 할아버지는 알고 계신대!,리차드 커티스 글 ; 레베카 콥 그림 ; 최용은 옮김,키즈엠,2012
산타 할아버지는 알고 계신대!,리차드 커티스 글 ; 레베카 콥 그림 ; 최용은 옮김,키즈엠,2012
새를 사랑한 소년 : 조류학자 존 오듀본 이야기,재클린 데이비스 글 ; 멀리사 스위트 그림 ; 고정아 옮김,비룡소,2012
선생님을 기억하는 나무,힐러리 로빈슨 지음 ; 맨디 스탠리 그림 ; [지혜정원 편집부 옮김],지혜정원,2012
선생님을 기억하는 나무,힐러리 로빈슨 지음 ; 맨디 스탠리 그림 ; [지혜정원 편집부 옮김],지혜정원,2012
선생님이 뭐가 어려워!,에드워드 마셜 글 ; 제임스 마셜 그림 ; 노은정 옮김,비룡소,2012
선생님이 뭐가 어려워!,에드워드 마셜 글 ; 제임스 마셜 그림 ; 노은정 옮김,비룡소,2012
(세상에서 가장 오래된 지혜의 노래)자장가,캐시 헨더슨 엮음 ; 팸 스미 그림 ; 김홍숙 옮김,파란자전거,2012
소시지 머리,애넷 코르디나 글 ; 히스 맥켄지 그림 ; 최용은 옮김,키즈엠,2012
소심왕 돌콩 날다!,허은실 글 ; 김고은 그림,웅진주니어,2012
소원 팔찌,이형진 글.그림,시공주니어,2012
소원 팔찌,이형진 글.그림,시공주니어,2012
"소풍 가자, 뽀로로!",편집부 [편],키즈아이콘,2012
손 씻기 귀찮아요!,완야 올텐 글 ; 마누엘라 올텐 그림 ; 조국현 옮김,토마토 하우스,2012
손 씻기 귀찮아요!,완야 올텐 글 ; 마누엘라 올텐 그림 ; 조국현 옮김,토마토 하우스,2012
손발,재미난책보 지음 ; 최영란 그림,어린이아현,2012
숲,마크 마틴 글.그림 ; 아이생각 옮김,키즈엠,2012
숲,마크 마틴 글.그림 ; 아이생각 옮김,키즈엠,2012
숲 속 작은 집 창가에,유타 바우어 글과 그림 ; 유혜자 옮김,북극곰,2012
쉿! 오빠괴물이 왔어,사카이 코마코 지음 ; 유문조 옮김,한솔수북,2012
스스와 네루네루,아라이 료지 지음 ; 김난주 옮김,시공주니어,2012
시끌벅적 변장파티,크리스토퍼 인스 지음 ; 김혜진 옮김,천 개의 바람,2012
(생생한 사진으로 만나는)식물백과,최한수 지음,키즈김영사,2012
(세상에 대한 호기심을 갖게 해주는)신나는 찾기 그림책 유럽,이소비 글 ; 이지혜 ; 한송이 [공]그림,부즈펌어린이,2012
신통방통 세 가지 말,김경희 글·그림,웅진주니어,2012
씩씩한 아기 토끼 : 이제 밤이 무섭지 않아!,에밀리 호킨스 글 ; 존 버틀러 그림 ; 노은정 옮김,아이즐books,2010
아기 고양이가 야옹,히로노 타카꼬 글·그림 ; 박숙경 옮김,창비,2011
아마존친구들 : 열대우림 대탐험,로리 크렙스 글 ; 앤 윌슨 그림 ; 장루미 옮김,아라미,2012
아무 때나 전화하지 마세요!,크레시다 코웰 글 ; 닐 레이튼 그림 ; 최용은 옮김,키즈엠,2012
아무 때나 전화하지 마세요!,크레시다 코웰 글 ; 닐 레이튼 그림 ; 최용은 옮김,키즈엠,2012
아빠가 용을 사 왔어요,마거릿 마이 글 ; 헬렌 옥슨버리 그림 ; 황재연 옮김,현북스,2012
아빠한테 가고 싶어요!,유다정 글 ; 주보희 그림,미래i아이,2012
"아이, 추워",콘스탄즈 V. 키칭 글.그림 ; 공상공장 옮김,키즈엠,2012
"아이, 추워",콘스탄즈 V. 키칭 글.그림 ; 공상공장 옮김,키즈엠,2012
아침에 일어나면 뽀뽀 : 암컷과 수컷의 차이점 찾기,노정임 글 ; 안경자 그림,웃는돌고래,2012
안 잘래!,이경혜 글 ; 최윤정 그림,바람의 아이들,2012
"안녕, 친구야",강풀 글·그림,웅진주니어,2013
암탉은 왜 길을 건넜을까,데이비드 맥컬레이 글·그림 ; 김서정 옮김,문학과지성사,2011
"앗, 만지지 마세요!",도래미 글 ; 남숙현 그림,형설아이,2013
앗! 모기다,정미라 글 ; 김이랑 그림,비룡소,2012
앗! 모기다,정미라 글 ; 김이랑 그림,비룡소,2012
"앗, 깜깜해",존 로코 지음 ; 김서정 옮김,다림,2012
앙리 마티스 : 빛으로 노래하고 색으로 춤추다,마저리 블레인 파커 글 ; 홀리 베리 그림 ; 홍연미 옮김,문학동네어린이,2013
양말 들판,무라나카 리에 글 ; 고야마 코이코 그림 ; 김지연 옮김,책과콩나무,2011
양말 들판,무라나카 리에 글 ; 고야마 코이코 그림 ; 김지연 옮김,책과콩나무,2011
양쯔강 소년,엘리자베스 포어먼 루이스 지음 ; 윌리엄 로 그림 ; 조세형 옮김,개암나무,2011
어느 겨울밤에,클레어 프리드만 저 ; 사이먼 멘데즈 그림 ; 최용은 옮김,키즈엠,2012
어느 겨울밤에,클레어 프리드만 저 ; 사이먼 멘데즈 그림 ; 최용은 옮김,키즈엠,2012
어느날 아침,이진희 쓰고 그림,글로연,2012
어느 바닷가의 하루,김수연 지음,보림출판사,2012
어느 바닷가의 하루,김수연 지음,보림출판사,2012
어른이 되는 날,유다정 글 ; 한수자 그림,학고재,2010
어린왕자와 별도둑,앙투안 드 생텍쥐페리 지음 ; 카트린느 크노 각색 ; 최나영 ; 길해옥 [공]옮김,꼬마샘터,2012
(보고 듣고 생각이 자라는)어린이 세계 명작 : 두 번째 이야기. 2,그림 형제 [외]원작 ; 이지현 글 ; 박혜진 [외]그림,아이앤북,2012
(보고 듣고 생각이 자라는)어린이 세계 명작 : 첫 번째 이야기. 1,샤를 페로 [외]원작 ; 이지현 글 ; 박혜진 [외]그림,아이앤북,2012
(보고 듣고 생각이 자라는)어린이 세계 명작 : 첫 번째 이야기. 1,샤를 페로 [외]원작 ; 이지현 글 ; 박혜진 [외]그림,아이앤북,2012
얼음 공주,에밀리 호킨스 글 ; 리사 에반스 그림 ; 공상공장 옮김,키즈엠,2012
엄마 아빠 다녀왔습니다,박현정 글.그림,한림출판사,2012
"엄마, 우리 엄마",유타 랑로이터 글 ; 슈테파니 달레 그림 ; 이기향 옮김,계수나무,2012
"엄마, 우리 엄마",유타 랑로이터 글 ; 슈테파니 달레 그림 ; 이기향 옮김,계수나무,2012
"엄마, 잘 갔다 와",이재복 글·그림,사계절출판사,2012
엄마가 사라진 어느 날,루스 화이트 지음 ; 김경미 옮김 ; 이정은 그림,푸른숲,2012
엄마는 내꺼야! : 동생은 싫어요,김정신 글 ; 이혜영 그림,아르볼,2012
엄마손은 약손 아기배는 똥배,이소을 글·그림,지니비니북스,2012
여기가 우리 집이라면 : 세계의 여러 가지 집 이야기,자일스 라로슈 지음 ; 우순교 옮김,시공주니어,2012
영어 동요 : 따라 부르면 영어가 술술,유아지능계발연구소 구성 ; 권보현 그림,효리원,2012
오물오물 냠냠 맛있다!,마이클 달 글 ; 오리올 비달 그림 ; 초록색연필 옮김,키즈엠,2013
오물오물 냠냠 맛있다!,마이클 달 글 ; 오리올 비달 그림 ; 초록색연필 옮김,키즈엠,2013
올리버는 할머니가 좋아,장 반 리우벤 글 ; 아놀드 로벨 그림 ; 노은정 옮김,비룡소,2012
올리버는 할머니가 좋아,장 반 리우벤 글 ; 아놀드 로벨 그림 ; 노은정 옮김,비룡소,2012
왜 왜 왜 김치가 좋을까,이흔 글 ; 이광익 그림,웅진주니어,2012
(요술쟁이)젤리 할머니,크리스텔 발라 글 ; 스테파니 오귀소 그림 ; 정미애 옮김,다림,2012
용감한 파로,트레이시 코드로이 글 ; 캐빈 스콧 그림 ; 최용은 옮김,키즈엠,2012
우리 몸은 음식으로 만들어져요,타케무라 토시코 글 ; 키즈키 스미요시 그림 ; 임솔잎 옮김,파인앤굿엔터테인먼트,2012
우리 몸의 물물물,이승연 글 ; 정문주 그림,한솔수북,2011
우리 엄마 어디 있어요,하오 광차이 글 ; 알레산드라 토니 그림 ; 김선영 옮김,사파리,2011
우리 우리 설날은,임정진 글 ; 김무연 그림,푸른숲,2013
우리 집 막걸리,양재홍 글 ; 김은정 그림,보림출판사,2012
우리 집에 할아버지가 왔어,쉬내즈 G. 낸지 지음 ; 첨 맥레오드 그림 ; 박정은 옮김,풀빛미디어,2012
(리더십을 키워주는)우리 공주 박물관,서안정 글 ; 이윤희 ; 이보람 ; 심상정 [공]그림,초록아이,2012
(리더십을 키워주는)우리 공주 박물관,서안정 글 ; 이윤희 ; 이보람 ; 심상정 [공]그림,초록아이,2012
우리들의 특별한 버스,밥 그레이엄 그림.글 ; 엄혜숙 옮김,시공주니어,2012
우산 도둑,시빌 웨타신하 지음 ; 엄혜숙 옮김,보림출판사,2012
우산 도둑,시빌 웨타신하 지음 ; 엄혜숙 옮김,보림출판사,2012
운동이 최고야,이시즈 치히로 글 ; 야마무라 코지 그림 ; 엄혜숙 옮김,천개의바람,2012
울보 나무,카토 요코 글 ; 미야니시 타츠야 그림 ; 고향옥 옮김,한림출판사,2012
(위대한 모험가)위팅턴,앨런 암스트롱 지음 ; S. D. 신들러 그림 ; 이승숙 옮김,개암나무,2008
위풍당당 질리 홉킨스,캐서린 패터슨 글 ; 이다희 옮김,비룡소,2012
윌리의 겨울 소원,질리언 쉴즈 글 ; 로지 리브 그림 ; 최용은 옮김,키즈엠,2012
윌리의 겨울 소원,질리언 쉴즈 글 ; 로지 리브 그림 ; 최용은 옮김,키즈엠,2012
이상한 녀석이 나타났다!,로드리고 폴게이라 글 ; 폴리 베르나테네 그림 ; 서연 옮김,아이맘,2012
이제 어른이 되려나 봐요,마리아 마르티네스 이 벤드렐 글 ; 카르메 솔레 벤드렐 그림 ; 김미화 옮김,풀빛,2011
일어나! 일어나!,트레이시 코드로이 글 ; 레이첼 스월즈 그림 ; 초록색연필 옮김,키즈엠,2012
일어나! 일어나!,트레이시 코드로이 글 ; 레이첼 스월즈 그림 ; 초록색연필 옮김,키즈엠,2012
(도종환 시인의)자장가,도종환 시 ; 김슬기 그림,풀과바람,2012
잠들기 전 엄마 아빠가 들려주는 세계 명작 동화,양재홍 글 ; 유승옥 외 그림,지경사,2012
잠들기 전 엄마 아빠가 들려 주는 탈무드 이야기,김진섭 글 ; 일홍 그림,지경사,2012
잠들기 전 엄마 아빠가 들려 주는 한국 전래 동화,이미애 글 ; 황지영 그림,지경사,2012
잠들기 전 엄마 아빠가 들려주는 이솝 이야기,이규희 글 ; 일흥 외 그림,지경사,2012
재활용이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
재활용이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
존 선생님의 동물원 : 노라와 친구들,"이치카와 사토미 글,그림 ; 정숙경 옮김",다산어린이,2012
존경하는 신사 숙녀 여러분! : 중세 마을 아이들이 들려주는 이야기,로라 에이미 슐리츠 글 ; 로버트 버드 그림 ; 김민석 옮김,시공주니어,2011
